scope,import_bin,rank_in_bin,cmd_code,desc,import_value_usd_bn,share_of_bin_pct,share_of_total_pct
India 2024,capital_goods,1,880240,"Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",8.703625216195,11.773284137121475,1.2500937714045703
India 2024,capital_goods,2,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",5.7727076801549995,7.808668924823047,0.8291287521978028
India 2024,capital_goods,3,851762,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",3.312264775943,4.480458817550521,0.47573757633135777
India 2024,capital_goods,4,847150,"Units of automatic data processing machines; processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",3.117163931356,4.216548363956873,0.447715419522473
India 2024,capital_goods,5,847989,Other,1.9808730359100002,2.6795019904965955,0.2845109919860402
India 2024,energy,1,270900,"Petroleum oils and oils obtained from bituminous minerals, crude.",141.532322252517,66.28637925670809,20.328158681635493
India 2024,energy,2,270119,"Coal, whether or not pulverised, but not agglomerated :-- Other coal",30.996615739864996,14.517202812098981,4.452015718568133
India 2024,energy,3,271111,Natural gas,14.984892381232001,7.018144291669993,2.152266459737946
India 2024,energy,4,271113,Butanes,7.570500942708001,3.545628932423486,1.0873441628991745
India 2024,energy,5,271112,Propane,7.103723443382,3.3270146268260894,1.0203013353365316
India 2024,final_consumption,1,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",2.9098513430360002,8.461429539402046,0.4179393010712365
India 2024,final_consumption,2,852589,Television cameras; n.e.c. in item no 8525.8,1.959806667885,5.698836152178675,0.2814852487124021
India 2024,final_consumption,3,080131,In shell,1.595658229176,4.639944823110066,0.22918293975615428
India 2024,final_consumption,4,071310,Peas (Pisum sativum),1.3621748347890001,3.9610086654420367,0.19564793223923066
India 2024,final_consumption,5,071360,"Vegetables, leguminous; pigeon peas (Cajanus cajan), shelled, whether or not skinned or split, dried",1.337215889096,3.8884316381431994,0.192063101576533
India 2024,intermediates,1,710812,"Metals; gold, non-monetary, unwrought (but not powder)",57.310536446278,15.535648019343922,8.231460209711035
India 2024,intermediates,2,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",14.489625975067998,3.92782449858256,2.081131796404842
India 2024,intermediates,3,851779,"Communication apparatus; parts, other than aerials and aerial reflectors of all kinds",13.125594741903999,3.5580651063337765,1.885217231355927
India 2024,intermediates,4,710231,"Unworked or simply sawn, cleaved or bruted",11.271743519193,3.055526099335197,1.6189502668375593
India 2024,intermediates,5,151110,Crude oil,6.461750074196,1.7516408145259672,0.9280952843758641
India 2024,unmapped_or_ambiguous,1,271311,Not calcined,1.929105304273,35.024626298549926,0.27707563978834426
India 2024,unmapped_or_ambiguous,2,271320,Petroleum bitumen,1.0242079235800001,18.595407775793838,0.14710605225833756
India 2024,unmapped_or_ambiguous,3,270799,Other,1.012838462648,18.388985078454702,0.14547306692840004
India 2024,unmapped_or_ambiguous,4,220720,"Ethyl alcohol and other spirits, denatured, of any strength",0.47101746066499994,8.55174183770164,0.06765180935232513
India 2024,unmapped_or_ambiguous,5,270750,Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 (C by the ASTM D 86 method,0.338543660152,6.146561909452443,0.04862471790686065
Pooled sample 2024,capital_goods,1,851762,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",166.074804253943,6.666389977312664,0.9856230759176828
Pooled sample 2024,capital_goods,2,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",136.906818881354,5.49556116785096,0.812516507522793
Pooled sample 2024,capital_goods,3,847150,"Units of automatic data processing machines; processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",123.811245374271,4.969893229436355,0.7347967143311606
Pooled sample 2024,capital_goods,4,880240,"Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",77.50987246530799,3.1113150442460586,0.46000667745137735
Pooled sample 2024,capital_goods,5,850440,Static converters,74.120311895578,2.97525507590197,0.4398902658755542
Pooled sample 2024,energy,1,270900,"Petroleum oils and oils obtained from bituminous minerals, crude.",1141.8380925664699,51.28723271619655,6.776596715263771
Pooled sample 2024,energy,2,271019,Other,297.033901961847,13.341687366793058,1.7628409644596417
Pooled sample 2024,energy,3,271111,Natural gas,176.19669268439398,7.914117457070762,1.0456946012386579
Pooled sample 2024,energy,4,271012,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations",162.194127917193,7.285172948637973,0.962591983604487
Pooled sample 2024,energy,5,271121,Natural gas,132.352254437614,5.944784044293055,0.7854860146273136
Pooled sample 2024,final_consumption,1,870323,"Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",198.436008394815,5.370408258899538,1.1776808038133282
Pooled sample 2024,final_consumption,2,851713,Telephone sets; smartphones for cellular or other wireless networks,175.92020431091902,4.7610477845276975,1.0440536941646192
Pooled sample 2024,final_consumption,3,870380,Vehicles; with only electric motor for propulsion,114.938644037222,3.1106624659375073,0.682139475561566
Pooled sample 2024,final_consumption,4,870340,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",105.616539718509,2.8583720352414246,0.6268145201963558
Pooled sample 2024,final_consumption,5,870322,"Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",97.515373282098,2.639124674398229,0.5787356040871594
Pooled sample 2024,intermediates,1,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",330.943778866813,3.9576850421634315,1.964089777181148
Pooled sample 2024,intermediates,2,710812,"Metals; gold, non-monetary, unwrought (but not powder)",327.037394691987,3.9109694390764353,1.940906113630229
Pooled sample 2024,intermediates,3,300490,Other,325.529653183903,3.892938684624953,1.9319579481962106
Pooled sample 2024,intermediates,4,300215,"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, put up in measured doses or in forms or packings for retail sale",182.37146131686302,2.1809408445224427,1.0823407046614753
Pooled sample 2024,intermediates,5,260111,"Iron ores and concentrates, other than roasted iron pyrites :-- Non-agglomerated",153.84453693840697,1.8397935285096547,0.9130387140393945
Pooled sample 2024,unmapped_or_ambiguous,1,270799,Other,9.682365642810998,12.892774575736802,0.057463039320731234
Pooled sample 2024,unmapped_or_ambiguous,2,271320,Petroleum bitumen,9.036464641506,12.032710381171805,0.0536297370055221
Pooled sample 2024,unmapped_or_ambiguous,3,220710,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,7.359539936882,9.799763083498338,0.043677500765480784
Pooled sample 2024,unmapped_or_ambiguous,4,271311,Not calcined,6.607959010461,8.798978376822442,0.039217007749529874
Pooled sample 2024,unmapped_or_ambiguous,5,401512,"Rubber; vulcanised (other than hard rubber), gloves, of a kind used for medical, surgical, dental or veterinary purposes",4.335959897275,5.773646192189428,0.02573311556925373
