country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_trade_intensity,weighted_mean_relative_import_intensity,world_weighted_mean_country_share,country_total_trade_value,world_total_trade_value,country_total_imports,world_total_imports,leave_one_out_world_total_imports,country_active_products,world_benchmark_products,zero_weight_country_trade_share,zero_weight_country_import_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,world_relative_import_product_gini,active_product_gini,active_product_count,active_product_total_imports,world_relative_minus_active_product_gini,world_relative_import_minus_active_product_gini,sample_window
Niger,NER,562,2024,Imports,world_relative,0.8930889007705282,0.8916031670875084,0.7782576331210265,0.9999999999999998,0.9999999999999998,0.004643989878499432,1501192423.9480002,21477763808207.273,1501192423.9480002,21477763808207.273,21476262615783.324,2755,6136,0.0,0.0,0,0,True,,0.8930889007705282,0.9396981229581942,2995.0,1501192423.948,-0.046609222187666055,-0.046609222187666055,balanced_2000_2024
Guyana,GUY,328,2024,Imports,world_relative,0.8835984575701484,0.9309385434812963,0.6790652360869665,0.9852077386183524,0.9852077386183524,0.007068912236143786,7210493332.705,21477763808207.273,7210493332.705,21477763808207.273,21470553314874.57,3427,6120,0.014792261381647643,0.014792261381647643,0,0,True,,0.8835984575701484,0.9215309795667984,3728.0,7210493332.705,-0.03793252199664998,-0.03793252199664998,balanced_2000_2024
Burkina Faso,BFA,854,2024,Imports,world_relative,0.8718836011232889,0.9456899675470187,0.8803210909399752,1.0,1.0,0.015328944410810563,6428761846.702,21477763808207.273,6428761846.702,21477763808207.273,21471335046360.57,3138,6136,0.0,0.0,0,0,True,,0.8718836011232889,0.945458908143796,3417.0,6428761846.702,-0.07357530702050707,-0.07357530702050707,balanced_2000_2024
Cambodia,KHM,116,2024,Imports,world_relative,0.8327428076688839,0.893309157725237,0.9206632033837784,1.0,1.0,0.005322387608032978,28678192248.84,21477763808207.273,28678192248.84,21477763808207.273,21449085615958.434,3867,6136,0.0,0.0,0,0,True,,0.8327428076688839,0.9029573024367414,4321.0,28645293022.6,-0.07021449476785757,-0.07021449476785757,balanced_2000_2024
Uganda,UGA,800,2024,Imports,world_relative,0.8172614532299395,0.9182492143024537,0.9334724620146828,0.9999999999999999,0.9999999999999999,0.01239712751371792,13832924772.850002,21477763808207.273,13832924772.850002,21477763808207.273,21463930883434.42,3982,6136,0.0,0.0,0,0,True,,0.8172614532299395,0.9375632332588208,4404.0,13832924772.849998,-0.12030178002888137,-0.12030178002888137,balanced_2000_2024
Zimbabwe,ZWE,716,2024,Imports,world_relative,0.8158070473645265,0.9198765026792044,0.9290736273824444,0.9999999999999998,0.9999999999999998,0.008747448057452416,9467255896.909,21477763808207.273,9467255896.909,21477763808207.273,21468296552310.367,3901,6136,0.0,0.0,0,0,True,,0.8158070473645265,0.9162997954707924,4305.0,9467255896.909,-0.10049274810626596,-0.10049274810626596,balanced_2000_2024
Mozambique,MOZ,508,2024,Imports,world_relative,0.8086304858872562,0.9182184521249351,0.9500587315508435,0.9999999999999998,0.9999999999999998,0.007591875983807051,9137666103.400002,21477763808207.273,9137666103.400002,21477763808207.273,21468626142103.875,4000,6136,0.0,0.0,0,0,True,,0.8086304858872562,0.9117777020276524,4464.0,9137666103.400002,-0.10314721614039624,-0.10314721614039624,balanced_2000_2024
"China, Hong Kong SAR",HKG,344,2024,Imports,world_relative,0.7953553300957059,0.8846302053511955,0.8937237013870801,1.0000000000000004,1.0000000000000004,0.00884312079738224,696384751615.1729,21477763808207.273,696384751615.1729,21477763808207.273,20781379056592.1,4062,6136,0.0,0.0,0,0,True,,0.7953553300957059,0.9662901723485042,4548.0,696384751615.173,-0.1709348422527983,-0.1709348422527983,balanced_2000_2024
Armenia,ARM,51,2024,Imports,world_relative,0.7922379139322332,0.9260393411498848,0.9594967488248585,1.0,1.0,0.010503972575683898,16795026899.242,21477763808207.273,16795026899.242,21477763808207.273,21460968781308.03,4041,6136,0.0,0.0,0,0,True,,0.7922379139322332,0.929585994764656,4498.0,16795026899.242,-0.13734808083242278,-0.13734808083242278,balanced_2000_2024
Kyrgyzstan,KGZ,417,2024,Imports,world_relative,0.7902892548388872,0.9037786079598741,0.9331744493165948,1.0,1.0,0.01070347885975927,11705748368.0,21477763808207.273,11705748368.0,21477763808207.273,21466058059839.273,3711,6136,0.0,0.0,0,0,True,,0.7902892548388872,0.9192964039524436,4108.0,11705748368.0,-0.12900714911355637,-0.12900714911355637,balanced_2000_2024
Senegal,SEN,686,2024,Imports,world_relative,0.7755058749524842,0.8901484847926127,0.9142848332083982,1.0,1.0,0.014190908598000282,11348956799.039001,21477763808207.273,11348956799.039001,21477763808207.273,21466414851408.234,3757,6136,0.0,0.0,0,0,True,,0.7755058749524842,0.9256410993019026,4135.0,11348956799.039,-0.1501352243494184,-0.1501352243494184,balanced_2000_2024
Egypt,EGY,818,2024,Imports,world_relative,0.7578533973493817,0.8580575401923779,0.9535724023282981,1.0000000000000002,1.0000000000000002,0.007287757642014191,94634470705.65898,21477763808207.273,94634470705.65898,21477763808207.273,21383129337501.617,4227,6136,0.0,0.0,0,0,True,,0.7578533973493817,0.9067441764012908,4706.0,94634470705.659,-0.14889077905190906,-0.14889077905190906,balanced_2000_2024
Morocco,MAR,504,2024,Imports,world_relative,0.7362380213239023,0.8659621921662176,0.9846970936502,1.0,1.0,0.005811387776831878,96711070144.586,21477763808207.273,96711070144.586,21477763808207.273,21381052738062.688,4397,6136,0.0,0.0,0,0,True,,0.7362380213239023,0.9027100018684476,4938.0,96711070144.586,-0.16647198054454537,-0.16647198054454537,balanced_2000_2024
Slovenia,SVN,705,2024,Imports,world_relative,0.7240789270106829,0.8720027493791549,0.9851936498579121,0.9999999999999999,0.9999999999999999,0.006572590753596275,74893348302.43701,21477763808207.273,74893348302.43701,21477763808207.273,21402870459904.84,4519,6136,0.0,0.0,0,0,True,,0.7240789270106829,0.9119349754486212,5175.0,74879352428.769,-0.18785604843793835,-0.18785604843793835,balanced_2000_2024
North Macedonia,MKD,807,2024,Imports,world_relative,0.711973665132214,0.8504471865326605,0.8913972197931617,1.0,1.0,0.005347781338410778,11949268396.84,21477763808207.273,11949268396.84,21477763808207.273,21465814539810.434,4067,6136,0.0,0.0,0,0,True,,0.711973665132214,0.8852419112386525,4525.0,11949268396.84,-0.17326824610643843,-0.17326824610643843,balanced_2000_2024
Czech Republic,CZE,203,2024,Imports,world_relative,0.5159496352824866,0.719506953110682,0.9968793270670456,1.0,1.0,0.006285678006643555,229082398703.0,21477763808207.273,229082398703.0,21477763808207.273,21248681409504.273,4665,6136,0.0,0.0,0,0,True,,0.5159496352824866,0.8724623001387708,5368.0,229082398703.0,-0.3565126648562842,-0.3565126648562842,balanced_2000_2024
Japan,JPN,392,2024,Imports,world_relative,0.507269404555173,0.8045864209401743,0.9920090544088108,0.9999999999999999,0.9999999999999999,0.010727172337165813,724013216509.0061,21477763808207.273,724013216509.0061,21477763808207.273,20753750591698.273,4555,6136,0.0,0.0,0,0,True,,0.507269404555173,0.8953738824201607,5221.0,728895746306.2009,-0.3881044778649877,-0.3881044778649877,balanced_2000_2024
Belgium,BEL,56,2024,Imports,world_relative,0.5010627450283219,0.8037092004084558,0.9973054830244134,1.0,1.0,0.01112967773404783,355824764325.36,21477763808207.273,355824764325.36,21477763808207.273,21121939043881.914,4718,6136,0.0,0.0,0,0,True,,0.5010627450283219,0.8799566591063999,5484.0,355824764325.36,-0.37889391407807793,-0.37889391407807793,balanced_2000_2024
United Kingdom,GBR,826,2024,Imports,world_relative,0.4840414795367819,0.7926107457933518,0.9952884697431051,1.0,1.0,0.008887734807891037,776500283491.749,21477763808207.273,776500283491.749,21477763808207.273,20701263524715.523,4674,6136,0.0,0.0,0,0,True,,0.4840414795367819,0.8731524412133649,5401.0,776500283491.749,-0.389110961676583,-0.389110961676583,balanced_2000_2024
Finland,FIN,246,2024,Imports,world_relative,0.47815539799145323,0.7979138128456158,0.9721914834568226,1.0,1.0,0.010254616586299127,74023379509.134,21477763808207.273,74023379509.134,21477763808207.273,21403740428698.14,4455,6136,0.0,0.0,0,0,True,,0.47815539799145323,0.8678773324606646,5091.0,74023379509.134,-0.38972193446921133,-0.38972193446921133,balanced_2000_2024
Austria,AUT,40,2024,Imports,world_relative,0.47276496832789955,0.7632363993200526,0.9847023450714899,0.9999999999999999,0.9999999999999999,0.006781110215194253,201941075583.91803,21477763808207.273,201941075583.91803,21477763808207.273,21275822732623.355,4659,6136,0.0,0.0,0,0,True,,0.47276496832789955,0.8387287744918219,5369.0,201941075583.91803,-0.3659638061639224,-0.3659638061639224,balanced_2000_2024
United States,USA,842,2024,Imports,world_relative,0.45832494315192607,0.7799133769034912,0.9982855044740115,1.0,1.0,0.009431110189929433,3228754846387.0,21477763808207.273,3228754846387.0,21477763808207.273,18249008961820.273,4731,6136,0.0,0.0,0,0,True,,0.45832494315192607,0.8770813431070323,5485.0,3228754846387.0,-0.4187563999551063,-0.4187563999551063,balanced_2000_2024
Canada,CAN,124,2024,Imports,world_relative,0.45318298390560835,0.7772577872496672,0.9981797599071629,1.0,1.0,0.008257480252374452,528235421665.057,21477763808207.273,528235421665.057,21477763808207.273,20949528386542.22,4744,6136,0.0,0.0,0,0,True,,0.45318298390560835,0.8554983142778747,5532.0,528235421665.05707,-0.40231533037226636,-0.40231533037226636,balanced_2000_2024
Sweden,SWE,752,2024,Imports,world_relative,0.4526385682191161,0.7897529179605344,0.9955012005188958,1.0,1.0,0.009648206449914633,179824431462.478,21477763808207.273,179824431462.478,21477763808207.273,21297939376744.797,4630,6136,0.0,0.0,0,0,True,,0.4526385682191161,0.8631823637527123,5319.0,179824431462.478,-0.4105437955335962,-0.4105437955335962,balanced_2000_2024
Netherlands,NLD,528,2024,Imports,world_relative,0.4448114931515179,0.802559227849041,0.9993314569619087,0.9999999999999999,0.9999999999999999,0.009924055153282742,610779669004.717,21477763808207.273,610779669004.717,21477763808207.273,20866984139202.555,4745,6136,0.0,0.0,0,0,True,,0.4448114931515179,0.8599885885661525,5520.0,610779669004.717,-0.41517709541463454,-0.41517709541463454,balanced_2000_2024
Poland,POL,616,2024,Imports,world_relative,0.44316317460979227,0.7664682006010262,0.9800974471844065,1.0,1.0,0.007437075408122942,373568290917.0,21477763808207.273,373568290917.0,21477763808207.273,21104195517290.273,4669,6136,0.0,0.0,0,0,True,,0.44316317460979227,0.8441225907234857,5387.0,373568290917.0,-0.40095941611369346,-0.40095941611369346,balanced_2000_2024
Italy,ITA,380,2024,Imports,world_relative,0.43550085720115017,0.7845755213677718,0.9939492166824231,1.0,1.0,0.008973804042120458,583103174155.02,21477763808207.273,583103174155.02,21477763808207.273,20894660634052.254,4729,6136,0.0,0.0,0,0,True,,0.43550085720115017,0.8453003408541084,5498.0,583103174155.02,-0.40979948365295826,-0.40979948365295826,balanced_2000_2024
France,FRA,251,2024,Imports,world_relative,0.4059906842637601,0.7709013943056436,0.9988655118879286,1.0,1.0,0.008657962133585195,761699282847.741,21477763808207.273,761699282847.741,21477763808207.273,20716064525359.53,4752,6136,0.0,0.0,0,0,True,,0.4059906842637601,0.8415515295767131,5540.0,761699282847.7411,-0.43556084531295297,-0.43556084531295297,balanced_2000_2024
Spain,ESP,724,2024,Imports,world_relative,0.40390270991147526,0.8101873752790356,0.9982715394523832,1.0,1.0,0.010327158890741688,434178361793.977,21477763808207.273,434178361793.977,21477763808207.273,21043585446413.297,4735,6136,0.0,0.0,0,0,True,,0.40390270991147526,0.8472812094979103,5506.0,434178361793.9769,-0.44337849958643505,-0.44337849958643505,balanced_2000_2024
Germany,DEU,276,2024,Imports,world_relative,0.3877743730423168,0.7429298868126705,0.9980612066567481,1.0000000000000002,1.0000000000000002,0.007717053418011648,1308896181476.7188,21477763808207.273,1308896181476.7188,21477763808207.273,20168867626730.555,4724,6136,0.0,0.0,0,0,True,,0.3877743730423168,0.8523168404097858,5499.0,1308896181476.719,-0.464542467367469,-0.464542467367469,balanced_2000_2024
